INFCODE	AVERAGE
INFR11125	64.96
INFR11069	70.54
INFR11011	72.23
INFR11122	57.91
INFR11151	62.67
INFR11031	63.83
INFR09043	68.26
INFR11020	65.70
INFR10052	72.26
INFR09042	60.15
INFR11033	62.77
INFR11016	66.68
INFR11005	73.58
INFR11144	72.49
INFR11094	70.03
INFR11095	71.10
INFR11128	61.88
INFR11032	67.42
INFR10065	78.95
INFR11036	66.20
INFR10054	58.80
INFR11102	54.17
INFR11111	41.63
INFR11067	69.23
INFR09009	74.80
INFR10074	70.58
INFR09046	77.63
INFR11021	63.40
INFR11049	59.03
INFR08022	45.05
INFR09044	76.63
INFR10067	70.87
INFR11115	22.23
INFR11007	76.71
INFR10070	68.56
INFR11090	66.90
INFR08023	54.24
INFR11022	62.84
INFR10061	73.16
INFR11088	63.93
INFR11129	67.00
INFR09028	81.52
INFR10044	67.39
INFR11017	78.86
INFR11140	69.35
INFR08020	49.18
INFR08012	75.98
INFR08015	73.74
INFR08013	76.38
INFR08014	65.76
INFR08008	65.42
INFR08009	60.19
INFR08018	64.79
INFR08019	63.42
INFR08010	68.70
INFR11147	67.56
INFR11136	66.75
INFR10005	64.90
INFR11146	68.48
INFR09021	66.48
INFR09050	61.13
INFR11131	63.93
INFR11099	67.00
INFR11138	73.71
INFR10059	72.74
INFR09019	63.65
INFR11153	40.25
INFR10069	67.49
INFR11152	60.50
INFR11130	59.44
INFR11132	74.14
INFR11062	69.58
INFR11097	64.22
INFR10051	63.35
INFR11093	74.81
INFR11106	75.89
INFR11107	72.00
INFR11109	76.89
INFR11077	63.86
INFR11079	66.36
INFR11061	61.57
INFR11008	61.79
INFR11035	68.00
INFR09047	71.63
INFR11024	75.81
INFR11023	67.84
INFR11082	69.25
INFR11108	76.22
INFR11150	65.50
INFR11134	64.24
INFR10022	68.09
INFR11089	67.50
INFR11010	73.08
INFR11142	69.10
INFR11118	67.62
INFR11092	77.21
INFR11098	61.51
INFR11124	72.40
INFR11038	66.45
INFR09045	79.91
INFR10057	76.62
INFR09032	71.09
INFR11145	71.57
INFR11141	70.48
INFR11113	66.78
INFR11114	93.38
